id,"title","authors","venue","year"
12702,"whatÃ¢ ?? s holding up dvd ?","s rupley","pc",""
12703,"tauber , computers are social actors","c nass","proceedings of acm",""
12704,"elementary number theory in a discrete mathematics class : the rsa cryptosystem","sj sugden","at delta ,",""
12705,"processes supporting teacher change within a school-based professional development program","pj lin","proceedings of the national science councilÃ¢ ?? part d : & hellip ; ,",""
12706,"mot ett nytt fÃ£ Â¶ rhÃ£ Â¥ llningssÃ£ $ tt i regionalpolitiken","l ramfelt","i sou ,",""
12707,"preliminary clinical experience with biodegradable plate and screw fixation","m ninkovic , a rumer , a kofler","& hellip ; of the european union demonstration project bmh4Ã¢ ?? 98Ã¢ ?? & hellip ; ,",""
12708,"distributed data structures in linda","n carriero , d gelernter , j leichter","proceedings of the 13th acm sigact-sigplan symposium on & hellip ; ,","1986.0"
12709,"quantitative hydrogeology : academic press","g de marsily","san diego ,",""
12710,"integrating and customizing heterogeneous e-commerce applications","a eyal , t milo","the vldb journal the international journal on very large & hellip ; ,","2001.0"
12711,"evaluation of the necessity of a college level hosptality management program in southwest florida","m goodman","","2002.0"
12712,"very large data bases","r ng , j han","proceedings of the 20th international conference on very & hellip ; ,",""
12713,"timing models for mos circuits","sj wilton , np jouppi","technical report , integrated circuits laboratory , stanford",""
12714,"leadership in the shaping and implementation of collaboration agendas : how things happen in a ( not","c huxham , s vangen","academy of management journal ,","2000.0"
12715,"haystack : a platform for authoring end user semantic web applications","d quan , d huynh , dr karger","lecture notes in computer science ,","2003.0"
12716,"db2 common server : technology , progress , & directions","b lindsay","proceedings of the international conference on very large & hellip ; ,","1995.0"
12717,"chemeca 95 , 3 : 45Ã¢ ?? 49 , canberra : the institution of engineers , australia","t srinorakutara , z zhang , cr thomas","isbn ,",""
12718,"andm . f. kaashoek . fugu : implementingtranslationand protection ina multiuser ,","k mackenzie , j kubiatowicz , a agarwal","","1994.0"
12719,"on improved multiuser detection with soft decision interference cancellation","a lampe , j huber","proc . int . conf .",""
12720,"promoting universal usability with multi-layer interface design","b shneiderman","",""
12721,"on the propagation of laminar motion through a turbulently moving inviscid liquid","w thomson","phil . mag ,",""
12722,"her life and chants","a estrada , m sabina","santa barbara , california : ross-erikson ,",""
12723,"toward a multilevel secure relational data model","r sandhu , s jajodia","acm international conference on management of data ( sigmod ) ,",""
12724,"19 , cambridge 1916","t no","",""
12725,"ddr-distributed dynamic routing algorithm for mobile ad hoc networks","n nikaein , h labiod , c bonnet","mobihoc proceedings ,","2000.0"
12726,"theoretical and experimental determinations of the transfer function of a laminar premixed flame","s ducruix , d durox , s candel","proceedings-combustion institute ,","2000.0"
12727,"iml-inscribed nets for modeling text processing and data ( base ) management systems","g richter","vldb ,",""
12728,"movements and associated behaviour ofwoodland caribou in central manitoba","mw shoesmith , dr storey","proc . int . congr . game biol ,",""
12729,"processing deficits and the mediation of positive affect in persuasion","dm mackie , lt worth","journal of personality and social psychology ,","1989.0"
12730,"the 1979 canada-usa cooperative bacillus thuringiensis spray trials against the spruce budworm ,","on morris","washington , seattle , washington ,",""
12731,"an efficient index structure for high dimensional image data","js yoo , mk shin , sh lee , ks choi , kh cho , dy hur","",""
12732,"catc hingthe boat with strudel : experiences with aw eb-sitemanagement system","m fernandez , d florescu , j kang , a levy","proceedings of",""
12733,"trajectory based forwarding and its applications","d niculescu , b nath","",""
12734,"control systems theory for linear repetitive processes-recent progress and open research problems","e rogers , k galkowski , dh owens","applied mathematics and computer science ,","1997.0"
12735,"in re . the personal restraint of andre bringham young and vance cunningham , brief of amicus curiae","d summers","seattle , washington state psychiatric association ,",""
12736,"specification of the blaze-a-trail interactive trail mapping system","l montulli , d collier , s gilliland , j reeves","procs . of the intl. conf . serp-2004 ,",""
12737,"ecosystem processes component level 1 interpretive report no. 10 . chesapeake biological laboratory (","wr boynton , wm kemp , jm barnes , ll matteson , fm","md ,",""
12738,"a and healey rw 1935","va bailey","phil . mag ,",""
12739,"the national medical knowledge bank","w sterling","proceedings of the international conference on very large & hellip ; ,","1998.0"
12740,"acyclovir for treating varicella in otherwise healthy children and adolescents","tp klassen , em belseck , n wiebe , l hartling","cochrane database syst rev ,","2002.0"
12741,"residential gateways","pm bull , pr benyon , pr limb","bt technology journal ,","2002.0"
12742,"r. , kumar , v. : mining needles in a haystack : classifying rare classes via two-phase rule induction","ma joshi","proceedings of acm",""
12743,"personal goals and subjective well-being : a longitudinal study","jc brunstein","journal of personality and social psychology ,","1993.0"
12744,"fas-induced apoptosis , and diseases caused by its abnormality","s nagata","genes to cells ,","1996.0"
12745,"the change masters","rm kanter","",""
12746,"strategic changes and frameworks affecting future oss/bss in the telecommunications industry","jmm potter , ar brady","bt technology journal ,","2005.0"
12747,"an approach to novelty detection applied to the classification of image regions","s singh , m markou","ieee transactions on knowledge and data engineering ,","2004.0"
12748,"a localizing geiger counter","sgf frank","phil . mag ,","1951.0"
12749,"equivalence of views by query capacity","ct connors","proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,","1985.0"
12750,"leveraging the information asset","j perna","",""
12751,"an inexpensive stereoscopic vision system for robots","w teoh , xd zhang","proc . int . conf . robotics ,","1984.0"
12752,"2-d fluid transport simulations of gaseous/radiative divertors","td rognlien , pn brown , rb campbell , tb kaiser","contributions to plasma physics ,","1994.0"
12753,"on saying Ã£ cents Ã¢ ? Â¬ Ã¥?enough already ! Ã£ cents Ã¢ ? Â¬ Ã¢ ? in sql","mj carey , d kossmann","proc . acm sigmod",""
12754,"anonymous fingerprinting","b pfitzmann , m waidner","lecture notes in computer science ,","1997.0"
12755,"concept-based querying in mediator systems","ku sattler , i geist , e schallehn","the vldb journal the international journal on very large & hellip ; ,","2005.0"
12756,"whiteboard scanning and image enhancement","z zhang , l he","",""
12757,"what theories of motivation say about why learners learn .","jh mcmillan , dr forsyth","new directions for teaching and learning ,","1991.0"
12758,"cache conscious indexing fordecision-support inmainmemory","jrka ross","proceedings of the 25th international conference on very & hellip ; ,",""
12759,"the interaction of students ' self-reported motivation and strategies and situational motivation and","s jaÃ£?rvelaÃ£ ? , m niemivirta , k hakkarainen","","1999.0"
12760,"lattice machine : version space in hyper relations","h wang , i duntsch , g gediga , a skowron","",""
12761,"influence of cytokine genotypes on allograft rejection","iv hutchinson , dm turner , d sankaran , mr awad , pj","transplantation proceedings ,","1998.0"
12762,"teor . i lksperim","il knunyants , ga sokol ` skii , ma belaventsev","khim. , i ,",""
12763,"vibrations in structures .","h bachmann , w ammann","iabse , eth-hoenggerberg , ch-8093 zurich ( switzerland ) , 1987 , & hellip ; ,","1987.0"
12764,"Ã£ cents Ã¢ ? Â¬ Ã¥?nonlinear functions for blind separation and equalization , Ã£ cents Ã¢ ? Â¬ Ã¢ ? ph. d","h mathis","dissertation , eth zÃ£?Ã¢ 1/4 rich , zurich , switzerland , nov. .",""
12765,"optimization of boolean expressions in object bases","a kemper , g moerkotte , m steinbrunn","proc . int . conf . on very large data bases ( vldb ) ,",""
12766,"ande","m carey , m franklin , m livny","& hellip ; , Ã¢ ?? in proc . acm sigmod international conference on & hellip ; ,",""
12767,"mapping of common management information services to corba object services specification","s mazumdar","",""
12768,"what is new about the digital economy ?","bf schmid","electronic markets ,","2001.0"
12769,"solid state ionics","sp jiang , jg love","submitted for",""
12770,"where are we heading ? .","jl fisher","new directions for higher education ,","1979.0"
12771,"new trends in space program management","eg howard , s kirkner","",""
12772,"electronic market : the roadmap for university libraries and members to survive in the information","m christoffel , s pulkowski , b schmitt , pc","acm sigmod record ,","1998.0"
12773,"case survey methodology : quantitative analysis of patterns across case studies","r larsson","the academy of management journal ,","1993.0"
12774,"individual differences in anterior brain asymmetry and fundamental dimensions of emotion","aj tomarken , rj davidson , re wheeler , rc doss","journal of personality and social psychology ,","1992.0"
12775,"daffe/clp/wp3 / wd ( 2001 ) 11","r by switzerland","",""
12776,"vital signs","a bezaitis","pc magazine ,",""
12777,"individuell vardplanering-hur ser det vetenskapliga undelaget ut ?","k asplund , v alton , a norberg , a willman","vard i norden ,","2000.0"
12778,"aspect-oriented logic meta programming","k de volder , td ` hondt","lecture notes in computer science ,","1999.0"
12779,"instructional consultation in a statewide setting","ma kerwin","new directions for teaching and learning ,","1999.0"
12780,"birch : an efficient data clustering method for very large databasesÃ¢ '' , jagadish hv , mumick is , eds","t zhang , r ramakrishnan , m livny","proceedings of the 1996 acm sigmod international conference",""
12781,"processor allocation strategies for multiprocessor database machines","h boral , dj dewitt","acm transactions on database systems ,","1981.0"
12782,"the evolution of customer middleware requirements","jm deutsch","parallel and distributed information systems , 1994. , & hellip ; ,",""
12783,"functional partitioning for hardware-codesign codesign using genetic algorithms","ji hidalgo , j lanchares","proceedings of the 23rd euromicro conference ,",""
12784,"generalized gamma networks","p sebastiani , m ramoni","technical report , university of massachusetts , department of",""
12785,"arista : knowledge engineering with scientific texts","j kontos","information and software technology ,","1992.0"
12786,"territorial competition and locational advantage in the london region","ir gordon","american association of geographers annual conference , & hellip ; ,",""
12787,"a practical scheme for non-interactiveveriable secret sharing","p feldman","proc . 28th ieee symp . on foundations of comp .",""
12788,"jun gu . a structured approach for vlsi circuit design","kf smith","ieee computer ,",""
12789,"programming languages and databases","mp atkinson","vldb ,","1978.0"
12790,"somlib : a digital library system based on neural networks","a rauber , d merkl","",""
12791,"sol-gel glass solid state lasers doped with organic molecules","c whitehurst , dj shaw , ta king","",""
12792,"linear hashing with partial expansions","pa larson","vldb ,","1980.0"
12793,"directional bias in intra-urban migration","js adams","economic geography ,","1969.0"
12794,"treatment of kaposi 's sarcoma in hiv-1 infected individuals with emphasis on resource poor settings","m dedicoat , m vaithilingum , r newton","cochrane database syst .",""
12795,"using laser to produce a new material for the automtive industry","w prange , c schneider","& hellip ; applications in the automotive industry , proceedings , 25 th & hellip ; ,","1992.0"
12796,"work hardening of dispersion-hardened crystals","mf ashby","phil . mag ,",""
12797,"comparison of cmos pla and polycell representations of control logic","cm gerveshi","proceedings of the 23rd acm/ieee conference on design & hellip ; ,","1986.0"
12798,"special section on data management issues in e-commerce","a dogac","acm sigmod record ,",""
12799,"easing the transition to an rbrvs-based physician compensation system","pp louiselle","",""
12800,"aspiration of free blood from the peritoneal cavity does not mandate immediate laparotomy .","k nagy , j fildes , e sloan","journal of emergency medicine ,","1996.0"
12801,"microbioengineering : microbe capture and detection","c lloyd , hy mason , m dice , c estes , a duncan , b","proceedings of the 23rd annual international conference of & hellip ; ,",""
12802,"great works for the 21st century : a critical role for the modern research university","ar newton","proceedings of the fourth acm international conference on & hellip ; ,","2004.0"
12803,"forget roiÃ¢ ?? just install it","r weston , c stedman","computerworld ,",""
12804,"high speed on-line backup when using logical log operations","db lomet","sigmod conference ,","2000.0"
12805,"the electronic century part i : beginnings","j chadabe","electronic musician ,",""
12806,"testing the neoclassical model of family labor supply and fertility","tp schultz","the journal of human resources ,","1990.0"
12807,"assessing the prospects for liberal learning and careers .","cs green iii , r salem","new directions for teaching and learning ,","1988.0"
12808,"ball grid array fine pitch peripheral interconnections","js hwang","",""
12809,"applying bootstrap method to simulation output analysis","c rea , w shiue , c xu","proceedings of the 23rd symposium on the interface . & hellip ; ,",""
12810,"monolithic capacitive pressure sensor with cmos readout circuit","m ylimaula , m Ã£?berg , j kiihamÃ£ $ ki , h ronkainen","proc . 29th european solid-state circuits",""
12811,"theme parks : laboratories for digital entertainment","c stapleton","acm press siggraph series ,","1998.0"
12812,"allometric growth and the beverton and holt yield equation","gj paulik , le gales","& hellip ; institute , university of washington , seattle , washington ,",""
12813,"the phantom public","w lippmann","",""
12814,"foxbox : a system for manipulating symbolic objects in black box representation . o. gloor , editor ,","a diaz , e kaltofen","","1998.0"
12815,"lnside com","d rogerson","","1997.0"
12816,"patents in e-commerce","s alexander","computerworld ,",""
12817,"intelligent database caching through the use of page-answers and page-traces","n kamel , r king","acm transactions on database systems ,","1992.0"
12818,"cortico-hippocampal interplay and the representation of contexts in the brain","r miller","","1991.0"
12819,"one emergency department 's guidelines for the care of suicidal patients","v bradley , c shawler","journal of emergency nursing ,","1993.0"
12820,"fifth-year report : milwaukee parental choice program , 1997","jf witte , td sterrÃ¢ ? Â¦","madison , wisconsin , university of",""
12821,"the multiview project : object-oriented view technology and applications","ea rundensteiner , ha kuno , yg ra , v crestana-taube","sigmod conference ,","1996.0"
12822,"drug use patterns among high school athletes and nonathletes","ah naylor , d gardner , l zaichkowsky","adolescence-san diego - ,","2001.0"
12823,"impairment of dna repair in the course of long-term hemodialysis and under cyclosporine","s vamvakas , u bahner , p becker , a steinle , r gotz ,","transplant proc ,","1996.0"
12824,"anomalous behavior of the upper critical field in extreme type-ii superconductors at low","s dukan , o vafek","",""
12825,"variational resolutions of non self-adjoint equations and dissipative evolutions , ( 2004 )","n ghoussoub , a lagrangians","",""
12826,"evolutionary algorithm performance profiles on the adaptive distributed management problem","mj oates","bt technology journal ,",""
12827,"mutual dependencies and some results on undecomposable relations","jm nxcholas","proc . 4th int . conf . very large data bases { west berlin ,",""
12828,"schizophrenia : emil kraepelin , adolph meyer , and beyond","mj tueth","journal of emergency medicine ,","1995.0"
12829,"concurrency control in database structures with relaxed balance","o nurmi , e soisalon-soininen , d wood","proceedings of the sixth acm sigact-sigmod-sigart symposium & hellip ; ,","1987.0"
12830,"supporting applications with network intelligence and b-isdn","gl bruce , ja clark","bt technology journal ,","1998.0"
12831,"load balancing and data locality in parallel hierarchical n-body simulation","jp singh , c holt , t totsuka , a gupta , jl hermessy","technical report csl-tr-92-505 , stanford university , february",""
12832,"case standard comes overseas for unix arena .","a cortese","computerworld ,",""
12833,"integrating automatic data acquisition with business processes-experiences with sap 's auto-id",", t lin , s haller , j schaper","proceedings of the international conference on very large & hellip ; ,","2004.0"
12834,"r. g unthor und c. mohan : failure handling in large scale workflow management systems","g alonso , m kamath , d agrawal , a el abbadi","technischer bericht rj9913 , ibm almaden research center ,",""
12835,"large-scale structures in rayleighÃ¢ ?? benard convection and flow over waves","a gunther","","2001.0"
12836,"evolving interpretations as a change unfolds : how managers construe key organizational events","la isabella","the academy of management journal ,","1990.0"
12837,"an introduction to probability theory and its applications","w feller","","1957.0"
12838,"misperception of exponential growth and the psychological magnitude of numbers","wa wagenaar","see wegener ,",""
12839,"european testbed for broadband communication , reference applications and infrastructure","k jonas , k rebensburg","tubkom , technical university berlin ,",""
12840,"strategy for a dod software initiative","ew martin","ieee computer ,",""
12841,"optimism is associated with mood , coping , and immune change in response to stress","sc segerstrom , se taylor , me kemeny , jl fahey","journal of personality and social psychology ,","1998.0"
12842,"dpf : fast , flexible packet demultiplexing","dr engler , mf kaashoek","proceedings of acm",""
12843,"surface elastic waves","rm white","proc . ieee ,",""
12844,"modelling crystallization of polymers in temperature elds ( 1998 )","m burger , v capasso , g eder","",""
12845,"a '' key '' to lawrence durrell","aw friedman","wisconsin studies in contemporary literature ,","1967.0"
12846,"dial access platform","j chuter","bt technology journal ,","2000.0"
12847,"academic business affairs","lm dooley","new directions for higher education ,","2000.0"
12848,"future research on exergy and its application : simultaneous resolution of energy and environment","h jin","","1999.0"
12849,"zippered polygon meshes from range images","g turk , m levoy","proceedings of siggraph ,","1994.0"
12850,"main gearbox with higher survivability and reliability","p maret , c varailhon","european rotorcraft forum , 25 th , rome , italy , proceedings. ,","1999.0"
12851,"transport phenomena . john wiley and sons , new york , 1960","rb bird , we stewart , en lightfoot","",""
12852,"evolution of the frameworks quagmire","sa sheard","",""
12853,"generalized trees to give denotational semantics to finite delay","g winskel","unpublished",""
12854,"data base decomposition in a hierarchical computer system","portal.acm.org","",""
12855,"fundamental algorithms on reconfigurable meshes","s olariu , jl schwing , j zhang","proc . 29th ann . allerton conf . comm. , control , and computing ,",""
12856,"ecological study of sylvilagus brasiliensis meridensis in an andean venezuelan paramo . p : 182-203","p durant","procs . world lagom . conf . university of guelph , ontario , & hellip ; ,",""
12857,"s. , and wigderson , a. how to play any mental game | a completeness theorem for protocols with honest","om goldreich","proc . acm",""
12858,"efficient portability across memory hierarchies","g bilardi , e peserico","unpublished manuscript ,",""
12859,"xml-based information mediation with mix . in in demo session , acm-sigmodÃ¢ ?? 99","c baru , a gupta , b ludaescher , r marciano , y","","1999.0"
12860,"women state legislators , womenÃ¢ ?? s organizations , and the representation of womenÃ¢ ?? s culture in the","sj carroll","see bystydzienski ,",""
12861,"performance of multi-hop wireless ad hoc network routing protocols","j broch , d maltz , d johnson , y hu , j jetcheva","proceedings of acm/ieee",""
12862,"beer from maize","cb pfeninger , f schur , aj wieg","process european brewing convention , zurich , switzerland ,",""
12863,"ssch : slotted seeded channel hopping for capacity improvement in ieee 802.11 ad-hoc wireless","p bahl , r chandra , j dunagan","",""
12864,"a transaction recovery method supporting fine-granularity locking and partial rollbacks using write -","c mohan , d haderle , b lindsay , h pirahesh , p","ibm research report rj6649 , ibm almaden research centre , & hellip ; ,",""
12865,"deeper in debt : the impact of the 1992 reauthorization of the higher education act on within-year","j cofer , p somers","& hellip ; for institutional research forum , seattle , washington ,",""
12866,"percutaneous transluminal angioplasty and stenting for carotid artery stenosis","f crawley , mm brown","cochrane database syst rev ,","2000.0"
12867,"a transportable natural language database update system","s salveter","proceedings of the 3rd acm sigact-sigmod symposium on & hellip ; ,","1984.0"
12868,"ten conversion myths from indonesia","r jones","conversion to islam ,",""
12869,"a case of bilharzia of the vagina","fc madden","the lancet i ,",""
12870,"the impact of cultural values on employee resistance to teams : toward a model of globalized self -","bl kirkman , dl shapiro","the academy of management review ,","1997.0"
12871,"combining histograms and parametric curve fitting for feedback-driven query result-size estimation","a konig , g weikum","proceedings of the international conference on very large & hellip ; ,","1999.0"
12872,"typing dynamic typing","ai baars , sd swierstra","",""
12873,"more programming pearls : confessions of a coder","j bentley","","1988.0"
12874,"the spaces and times of globalization : place , scale , networks , and positionality","e sheppard","economic geography ,",""
12875,"maier . rapidbushyjoin-orderoptimizationwithcartesian products","b vanceandd","inproceedings of the acm sigmod international conference on & hellip ; ,",""
12876,"tables for x-ray crystallography ( 1974 , vol . iv ) .","i metal , m amides , t parameters , g quantities","acc . chem .",""
12877,"knowledge-based fault detection system using evolutive observer approach","j korbicz , j kus","systems science-wroclaw - ,","1997.0"
12878,"strakovskaya","ls kremenehugskii , r ya","at .",""
12879,"how computers are transforming higher education .","rg gillespie","new directions for higher education ,","1983.0"
12880,"evaluation of workflow-type software products : a case study","m perez , t rojas","information & software technology ,","2000.0"
12881,"progress in crystal physics ( s. viswanathan , madras , 1958 )","rs krishnan","vol .",""
12882,"preservation solutions for transplantation","f muhlbacher , f langer , c mittermayerÃ¢ ? Â¦","transplantation proceedings ,","1999.0"
12883,"cerebrospinal fluid","da jerrard , jr hanna , gl schindelheim","journal of emergency medicine ,","2001.0"
12884,"hyperbaric oxygen therapy for multiple sclerosis","m bennett , r heard","cochrane database syst rev ,","2004.0"
12885,"naturalistic evaluation","eg guba","new directions for program evaluation ,","1987.0"
12886,"regression diagnostics : identifying influential data and sources of collinearity","da belsley , e kuh , re welsch","",""
12887,"anvil-a generic annotation tool for multimodal dialogue","m kipp","proceedings of eurospeech ,",""
12888,"a platform for dutch in human language technologies","j beeken , e dewallef , ed ` halleweyn","proceedings of lrec2000 , athens , greece ,",""
12889,"towards a formal approach for object database design","p poncelet , m teisseire , r cicchetti , l lakhal","",""
12890,"semistructured and structured data in the web : going back and forth","p atzeni , g mecca , p merialdo","sigmod record ,","1997.0"
12891,"evaluation of the 2-poisson model as a basis for using term frequency data in searching","vv raghavan , h shi , ct yu","acm sigir forum ,","1983.0"
12892,"designer drugs '' - a current perspective .","da jerrard","journal of emergency medicine ,","1990.0"
12893,"'' economic comparisons of data communication services","hc ratz , ja field","computer",""
12894,"processing star queries on hierarchically-clustered fact tables","n karayannidis , a tsois , tk sellis , r pieringer , v","vldb ,","2002.0"
12895,"fdm -- functional data model","b housel , sb yao , v waddle","proc . 5th int . conf . very large data bases ( rio de janeiro , & hellip ; ,",""
12896,"report on the vldb workshop on technologies for e-services ( tes )","f casati , u dayal , mc shan","acm sigmod record ,","2000.0"
12897,"the xps approach to loading and unloading terabyte databases","s atal","proceedings of the international conference on very large & hellip ; ,","1996.0"
12898,"grand challenges in embedded systems","j sztipanovits , j glossner , t mudge , c rowen , a","proceedings of the 5th acm international conference on & hellip ; ,","2005.0"
12899,"additional resources .","jdw andrews","new directions for teaching and learning ,","1985.0"
12900,"algorithmic aspects in large deformation contact analysis using Ã¢ ?? Ã¢ ?? solid-shellÃ¢ ?? Ã¢ ?? elements","m harnau , a konyukhov , k schweizerhof","submitted for",""
12901,"microsoft application center 2000 component load balancing , technologie overview","c rees","microsoft , september ,",""
12902,"dynamic spectrum utilization in ad hoc networks [ star , open ]","vr syrotiuk , m cui , s ramkumar , cj colbourn","computer networks ,","2004.0"
12903,"disrupting the '' quotidian '' : reconceptualizing the relationship between breakdown and the the","da snow , dm cress , l downey , aw jones","mobilization-san diego - ,","1998.0"
12904,"information paradox","pa strassmann","computerworld ,",""
12905,"secure xml publishing without information leakage in the presence of data inference","x yang , c li","proceedings of the international conference on very large & hellip ; ,",""
12906,"surface interface anal","mp seach , wa dench","","1979.0"
12907,"design of an optical ground station for in-orbit check-out of free space laser communication","rh czichy , z sodnik , b furch","proc . spie ,","1995.0"
12908,"plumage coloration as a signal of social status","jc senar","proc . int . ornithol . congr ,",""
12909,"de vey mestdagh-markt 51-4331 lk middelburg-nederland","w wuich , ll solderen","",""
12910,"questions of controllability and observability for nonuniformly sampled discrete systems","a fuster , jm guillen","",""
12911,"proteomic patterns of cultured breast cancer cells and epithelial mammary cells","i pucci-minafra , s fontana , p cancemi , g alaimo , s","annals-new york academy of sciences ,","2002.0"
12912,"defects in spinel crystals grown by the verneuil process","mh lewis","phil . mag ,",""
12913,"best practices for the prevention and treatment of venous leg ulcers","b kunimoto , m cooling , w gulliver , p houghton , h","",""
12914,"characterization of a full-field digital mammography detector based on direct x-ray conversion in","jg yorker , ls jeromin , dl lee , ef palecki , kp","proc . spie ,","2002.0"
12915,"difference methods for initial-value problems","rd richtmyer , kw morton","",""
12916,"spatial and directional filter characteristics of single units in the optic nerve of the california","me mccourt","","1982.0"
12917,"helping and voice extra-role behaviors : evidence of construct and predictive validity","lv dyne , ja lepine","the academy of management journal ,","1998.0"
12918,"amodiaquine for treating malaria","p olliaro , p mussano","cochrane database syst rev ,","2003.0"
12919,"institutional arrangements and government performance in the brazilian federation .","vd lledÃ£ Â³","","2003.0"
12920,"c. , and damgard , i. multiparty unconditionally secure protocols","dc chaum","proc . acm",""
12921,"scacchi . softman : anenvironmentforforwardandreverse case","sc choiandw","information and software technology ,",""
12922,"on infinite groups with abelian centralizers of involutions","vd mazurov","algebra i logika ,",""
12923,"low power cmos interface circuitry for sensors and actuators","jh nielsen","","2003.0"
12924,"just for fun . the story of an accidental revolutionary","l torvalds , d diamond","",""
12925,"factors affecting statewide planning .","sv martorana","new directions for higher education ,","1974.0"
12926,"falcon : feedback adaptive loop for content-based retrieval","l wu , c faloutsos , kp sycara , tr payne","vldb ,","2000.0"
12927,"sharing the costs of higher education . student financial assistance in the united kingdom , the","db johnstone","","1986.0"
12928,"Ã© `` ? Ã¨ ? Â³ Ã© Â¦ Â¨ Ã¥ 3/4 Â® Ã§ ?? Ã§ ? Â© Ã© ? Â¶ Ã¦ ?? Ã©?ÂµÃ§ ?? Ã¥ ? `` Ã¨ ? Â¡ Ã¨ Â¯ ? Ã¦ ? Â¥ Ã¥ ?? Ã¥ Â· ? Ã¨ ?? Ã§ Â§ ? Ã¦ ??","Ã¦ Â³ ? Ã¦ Â° Â¸ Ã¨ ??","",""
12929,"efficient and generalized group signatures , advances in cryptology-eurocryptÃ¢ ?? 97 , lncs 1233","j camenisch","","1997.0"
12930,"oo , what have they done to db2 ?","mj carey , dd chamberlin , s narayanan , b vance , d","proceedings of the 25th international conference on very & hellip ; ,","1999.0"
12931,"public-key functions as intractable as factorization . ''","m rabin , d signatures","mit/lcs/tr -212 , mit laboratory for computer science , cambridge ,",""
12932,"evaluation within the us department of health and human services office of inspector general","mf mangano","new directions for program evaluation ,",""
12933,"vitterj ( 2001 ) supporting incrementaljoinqueriesonrankedinputs","cyc natseva , lcs smithj","& hellip ; 27th international conference on very large data bases , & hellip ; ,",""
12934,"assessing interdisciplinary learning","m field , r lee , ml field","new directions for teaching and learning ,","1994.0"
12935,"on the menu : the growth of self-efficacy","j alleman , j brophy","social studies and the young learner ,","2000.0"
12936,"design for test of megabit drams","r krausÃ¢ ? Â¦","proc . intÃ¢ ?? l test conl ,",""
12937,"note on the motion of fluid in a curved pipe","wr dean","","1927.0"
12938,"e-books reloaded","s rupley","pc magazine ,",""
12939,"ontounoua : a mechanism to support portable ontologies","tr gruber","","1992.0"
12940,"orientation dependence of energy dissipation during plastic deformation of fcc crystals","d nakada","phil . mag ,",""
12941,"pretruncal nonaneurysmal subarachnoid hemorrhage","efm wijdicks , gm miller","mayo clinic proceedings ,","1998.0"
12942,"the attribution of blame : causality , responsibility , and blameworthiness","kg shaver","","1985.0"
12943,"the architecture of a uml virtual machine","d riehle , s fraleigh , d bucka-lassen , n omorogbe","",""
12944,"the north american breeding bird survey , results and analysis 1966-2002 . version 2003.1 , usgs","jr sauer , je hines , j fallon","",""
12945,"d-cycloserine for alzheimer 's disease","k laake , ar oeksengaard","cochrane database syst rev ,","2002.0"
12946,"reconsidering the diagnosis and treatment of very young children with autistic spectrum or pervasive","si greenspan","zero to three ,",""
12947,"electrical stimulation of the ventral sacral nerve roots : selective activtion in patients","njm rijkhoff , l hendrikx , fmj debrunye , h wijkstra","proceedings of the international continence society , 25 & hellip ; ,",""
12948,"recent bt patents","ad ellis","bt technology journal ,","1997.0"
12949,"gender and organizational performance : determinants of small business survival and success","al kalleberg , kt leicht","the academy of management journal ,","1991.0"
12950,"mussel aquaculture in puget sound","d skidmore , kk chew","","1985.0"
12951,"the social psychology of creativity","tm amabile","","1983.0"
12952,"supramolecular metal-organometallic coordination networks based on quinonoid-complexes","m oh , gb carpenter , da sweigart","acc . chem . res ,","2004.0"
12953,"no. 102-294 , 102d cong. , 2d","s rep","sess . at ,",""
12954,"flow cytometry analysis : a high technology crossmatch technique facilitation transplantation","mr garovoy , ma rheinschmidt , m bigosÃ¢ ? Â¦","","1983.0"
12955,"user profile replication for faster location lookup in mobile communications","n shivakumar , j widom","proc . acm/ieee mobicomÃ¢ ?? 95 ,",""
12956,"thermodynamic and kinetic analyses for understanding sequence-specific dna recognition","m oda , h nakamura","genes to cells ,","2000.0"
12957,"the politics of workplace literacy : a case study","sg gowen","","1992.0"
12958,"object manipulation in virhml ~ . nvirnnme . nt . ~ : hnnman hia . consistency a_n_d i_n_dividua !","y wang , cl mackenzie , va summers","proceedings of acm",""
12959,"automata theory for xml researchers","f neven","sigmod record ,","2002.0"
12960,"why americans donÃ¢ ?? t study foreign languages and what we can do about that","dl sigsbee","new directions for higher education ,","2002.0"
12961,"program ( sped ) . 1996","m lloyd , usped kearns","& hellip ; single parent employment demonstration program : kearns ,",""
12962,"choose your 200","c venezia","pc magazine ,",""
12963,"the two cultures of environmental management","c anderson","proceedings of the 25 thannual environmental workshop ,",""
12964,"j. . s. vitter . scalable sweeping-based spatial join","l arge , o procopiuc , s ramaswamy , t suel","proceedings of the international conference on very large & hellip ; ,",""
12965,"working with metafiles : modifying and sharing vector-oriented images","c petzold","pc magazine ,",""
12966,"development of annular coupled structure","t kageyamaÃ¢ ? Â¦","procs . of the 1994 linear accelerator conference ,",""
12967,"logging and wildfire influence on grizzly bear habitat in northwestern montana","p zager , c jonkel , j habeck","international conference on bear research and management ,",""
12968,"some very large data bases in developing countries","sp ghosh , af cardenas , i mijares , g wiederhold","very large data bases , 1979 . fifth international conference & hellip ; ,","1979.0"
