id,title,authors,venue,year
1294,partitioned garbage collection of large object store,"u maheshwari , b liskov",sigmod conference,1997
1295,work and information practices in the sciences of biodiversity,g bowker,vldb,2000
1296,highly concurrent cache consistency for indices in client-server database systems,"m zaharioudakis , m carey",sigmod conference,1997
1297,the zero latency enterprise,d liles,vldb,2000
1298,improved query performance with variant indexes,"p o'neil , d quass",sigmod conference,1997
1299,"panel : future directions of database research - the vldb broadening strategy , part 2",m brodie,vldb,2000
1300,linking business to deliver value : a data management challenge,a deshpande,vldb,2000
1301,maintenance of data cubes and summary tables in a warehouse,"i mumick , d quass , b mumick",sigmod conference,1997
1302,range queries in olap data cubes,"c ho , r agrawal , n megiddo , r srikant",sigmod conference,1997
1303,"high-performance and scalability through application tier,in-memory data management",,vldb,2000
1304,"social , educational , and governmental change enabled through information technology","k ramamritham , y atfi , c batini , m eitan , v gregg , d phatak",vldb,2000
1305,database performance in the real world - tpc-d and sap r/3 ( experience paper ),"j doppelhammer , t hіppler , a kemper , d kossmann",sigmod conference,1997
1306,database buffer size investigation for oltp workloads ( experience paper ),"t tsuei , a packer , k ko",sigmod conference,1997
1307,xperanto : middleware for publishing object-relational data as xml documents,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian",vldb,2000
1308,the strip rule system for efficiently maintaining derived data,"b adelberg , h garcia-molina , j widom",sigmod conference,1997
1309,"panel : future directions of database research - the vldb broadening strategy , part 1",h schek,vldb,2000
1310,panel : is generic metadata management feasible ?,"p bernstein , l haas , m jarke , e rahm , g wiederhold",vldb,2000
1311,the bucky object-relational benchmark ( experience paper ),"m carey , d dewitt , j naughton , m asgarian , p brown , j gehrke , d shah",sigmod conference,1997
1312,publish/subscribe on the web at extreme speed,"j pereira , f fabret , f llirbat , r preotiuc-pietro , k ross , d shasha",vldb,2000
1313,association rules over interval data,"r miller , y yang",sigmod conference,1997
1314,a unified framework for enforcing multiple access control policies,"s jajodia , p samarati , v subrahmanian , e bertino",sigmod conference,1997
1315,insite : a tool for interpreting users ? interaction with a web space,"c shahabi , a faisal , f kashani , j faruque",vldb,2000
1316,model-based information integration in a neuroscience mediator system,"b ludфscher , a gupta , m martone",vldb,2000
1317,databases on the web : technologies for federation architectures and case studies ( tutorial ),r kramer,sigmod conference,1997
1318,push technology personalization through event correlation,"a adi , d botzer , o etzion , t yatzkar-haham",vldb,2000
1319,delaunay : a database visualization system,"i cruz , m averbuch , w lucas , m radzyminski , k zhang",sigmod conference,1997
1320,memex : a browsing assistant for collaborative archiving and mining of surf trails,"s chakrabarti , s srivastava , m subramanyam , m tiwari",vldb,2000
1321,devise : integrated querying and visual exploration of large datasets ( demo abstract ),"m livny , r ramakrishnan , k beyer , g chen , d donjerkovic , s lawande , j myllymaki , r wenger",sigmod conference,1997
1322,information integration : the momis project demonstration,"d beneventano , s bergamaschi , s castano , a corni , r guidetti , g malvezzi , m melchiori , m vincini",vldb,2000
1323,geominer : a system prototype for spatial data mining,"j han , k koperski , n stefanovic",sigmod conference,1997
1324,similarity-based queries for time series data,"d rafiei , a mendelzon",sigmod conference,1997
1325,telcordia 's database reconciliation and data quality analysis tool,"f caruso , m cochinwala , u ganapathy , g lalk , p missier",vldb,2000
1326,meaningful change detection in structured data,"s chawathe , h garcia-molina",sigmod conference,1997
1327,rainbow : distributed database system for classroom education and experimental research,"a helal , h li",vldb,2000
1328,focused crawling using context graphs,"m diligenti , f coetzee , s lawrence , c giles , m gori",vldb,2000
1329,beyond market baskets : generalizing association rules to correlations,"s brin , r motwani , c silverstein",sigmod conference,1997
1330,semantic access : semantic interface for querying databases,"n rishe , j yuan , r athauda , s chen , x lu , x ma , a vaschillo , a shaposhnikov , d vasilevsky",vldb,2000
1331,efficiently supporting ad hoc queries in large datasets of time sequences,"f korn , h jagadish , c faloutsos",sigmod conference,1997
1332,devise : integrated querying and visualization of large datasets,"m livny , r ramakrishnan , k beyer , g chen , d donjerkovic , s lawande , j myllymaki , r wenger",sigmod conference,1997
1333,the treescape system : reuse of pre-computed aggregates over irregular olap hierarchies,"t pedersen , c jensen , c dyreson",vldb,2000
1334,olap + + : powerful and easy-to-use federations of olap and object databases,"j gu , t pedersen , a shoshani",vldb,2000
1335,"building a scaleable geo-spatial dbms : technology , implementation , and evaluation","j patel , j yu , n kabra , k tufte , b nag , j burger , n hall , k ramasamy , r lueder , c ellmann , j kupsch , s guo , d dewitt , j naughton",sigmod conference,1997
1336,a toolkit for negotiation support interfaces to multi-dimensional data,"m gebhardt , m jarke , s jacobs",sigmod conference,1997
1337,performance issues in incremental warehouse maintenance,"w labio , j yang , y cui , h garcia-molina , j widom",vldb,2000
1338,the challenge of process data warehousing,"m jarke , t list , j kіller",vldb,2000
1339,distance-based indexing for high-dimensional metric spaces,"t bozkaya , z жzsoyoglu",sigmod conference,1997
1340,what is the nearest neighbor in high dimensional spaces ?,"a hinneburg , c aggarwal , d keim",vldb,2000
1341,efficient view maintenance at data warehouses,"d agrawal , a abbadi , a singh , t yurek",sigmod conference,1997
1342,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000
1343,eliminating costly redundant computations from sql trigger executions,"f llirbat , f fabret , e simon",sigmod conference,1997
1344,the bt-tree : a branched and temporal access method,"l jiang , b salzberg , d lomet , m garcэa",vldb,2000
1345,zoo : a desktop emperiment management environment,"y ioannidis , m livny , a ailamaki , a narayanan , a therber",sigmod conference,1997
1346,temporal integrity constraints with indeterminacy,"w cowley , d plexousakis",vldb,2000
1347,the mentor workbench for enterprise-wide workflow management,"d wodtke , j weiпenfels , g weikum , a dittrich , p muth",sigmod conference,1997
1348,optimizing multi-feature queries for image databases,"u gќntzer , w balke , w kieпling",vldb,2000
1349,sentinel : an object-oriented dbms with event-based rules,s chakravarthy,sigmod conference,1997
1350,managing intervals efficiently in object-relational databases,"h kriegel , m pіtke , t seidl",vldb,2000
1351,predator : an or-dbms with enhanced data types,"p seshadri , m paskin",sigmod conference,1997
1352,data access for the masses through ole db,j blakeley,sigmod conference,1996
1353,novel approaches in query processing for moving object trajectories,"d pfoser , c jensen , y theodoridis",vldb,2000
1354,fault-tolerant architectures for continuous media servers,"b жzden , r rastogi , p shenoy , a silberschatz",sigmod conference,1996
1355,identifying representative trends in massive time series data sets using sketches,"p indyk , n koudas , s muthukrishnan",vldb,2000
1356,a content-based multimedia server for massively parallel architectures,"w o'connell , i ieong , d schrader , c watson , g au , a biliris , s choo , p colin , g linderman , e panagos , j wang , t walters",sigmod conference,1996
1357,"set containment joins : the good , the bad and the ugly","k ramasamy , j patel , j naughton , r kaushik",vldb,2000
1358,fundamental techniques for order optimization,"d simmen , e shekita , t malkemus",sigmod conference,1996
1359,what happens during a join ? dissecting cpu and memory optimization effects,"s manegold , p boncz , m kersten",vldb,2000
1360,the distributed information search component ( disco ) and the world wide web,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",sigmod conference,1997
1361,optimizing queries on compressed bitmaps,"s amer-yahia , t johnson",vldb,2000
1362,toward learning based web query processing,"y diao , h lu , s chen , z tian",vldb,2000
1363,the infosleuth project,"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",sigmod conference,1997
1364,user-adaptive exploration of multidimensional data,s sarawagi,vldb,2000
1365,infomaster : an information integration system,"m genesereth , a keller , o duschka",sigmod conference,1997
1366,oracle8i index-organized table and its application to new domains,"j srinivasan , s das , c freiwald , e chong , m jagannath , a yalamanchi , r krishnan , a tran , s defazio , j banerjee",vldb,2000
1367,languages for multi-database interoperability,"f gingras , l lakshmanan , i subramanian , d papoulis , n shiri",sigmod conference,1997
1368,s3 : similarity search in cad database systems,"s berchtold , h kriegel",sigmod conference,1997
1369,multi-dimensional database allocation for parallel data warehouses,"t stіhr , h mфrtens , e rahm",vldb,2000
1370,structural matching and discovery in document databases,"j wang , d shasha , g chang , l relihan , k zhang , g patel",sigmod conference,1997
1371,integrating the ub-tree into a database system kernel,"f ramsak , v markl , r fenk , m zirkel , k elhardt , r bayer",vldb,2000
1372,practical applications of triggers and constraints : success and lingering issues ( 10-year award ),"s ceri , r cochrane , j widom",vldb,2000
1373,the whips prototype for data warehouse creation and maintenance,"w labio , y zhuge , j wiener , h gupta , h garcia-molina , j widom",sigmod conference,1997
1374,temporal queries in olap,"a mendelzon , a vaisman",vldb,2000
1375,strudel : a web-site management system,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod conference,1997
1376,the evolution of the web and implications for an incremental crawler,"j cho , h garcia-molina",vldb,2000
1377,query optimization at the crossroads ( panel ),s chaudhuri,sigmod conference,1997
1378,hypothetical queries in an olap environment,"a balmin , t papadimitriou , y papakonstantinou",vldb,2000
1379,picture programming project,"n goyal , c hoch , r krishnamurthy , b meckler , m suckow , m zloof",sigmod conference,1997
1380,"object-relational database systems : principles , products , and challenges ( tutorial )",,,1997
1381,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000
1382,data warehousing and olap for decision support ( tutorial ),,,1997
1383,icicles : self-tuning samples for approximate query answering,"v ganti , m lee , r ramakrishnan",vldb,2000
1384,offering a precision-performance tradeoff for aggregation queries over replicated data,"c olston , j widom",vldb,2000
1385,mdm : a multiple-data-model tool for the management of heterogeneous database schemes,"p atzeni , r torlone",sigmod conference,1997
1386,template-based wrappers in the tsimmis system,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos",sigmod conference,1997
1387,manipulating interpolated data is easier than you thought,"s grumbach , p rigaux , l segoufin",vldb,2000
1388,schema mapping as query discovery,"r miller , l haas , m hernсndez",vldb,2000
1389,semcog : an object-based image retrieval system and its visual query interface,"w li , k candan , k hirata , y hara",sigmod conference,1997
1390,the context interchange mediator prototype,"s bressan , c goh , k fynn , m jakobisiak , k hussein , h kon , t lee , s madnick , t pena , j qu , a shum , m siegel",sigmod conference,1997
1391,local dimensionality reduction : a new approach to indexing high dimensional spaces,"k chakrabarti , s mehrotra",vldb,2000
1392,on-line warehouse view maintenance,"d quass , j widom",sigmod conference,1997
1393,the 3w model and algebra for unified data mining,"t johnson , l lakshmanan , r ng",vldb,2000
1394,mining frequent itemsets using support constraints,"k wang , y he , j han",vldb,2000
1395,supporting multiple view maintenance policies,"l colby , a kawaguchi , d lieuwen , i mumick , k ross",sigmod conference,1997
1396,rethinking database system architecture : towards a self-tuning risc-style database system,"s chaudhuri , g weikum",vldb,2000
1397,the sr-tree : an index structure for high-dimensional nearest neighbor queries,"n katayama , s satoh",sigmod conference,1997
1398,wave-indices : indexing evolving databases,"n shivakumar , h garcia-molina",sigmod conference,1997
1399,picodmbs : scaling down database techniques for the smartcard,"c bobineau , l bouganim , p pucheral , p valduriez",vldb,2000
1400,concurrency in the data warehouse,r taylor,vldb,2000
1401,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997
1402,"ordering information , conference organizers , program committees , additional reviewers , additional demonstrations reviewers , sponsors , vldb endowment , preface , foreword",,,2000
1403,"lessons from wall street : case studies in configuration , tuning , and distribution ( tutorial )",,,1997
1404,temporal aggregation in active database rules,"i motakis , c zaniolo",sigmod conference,1997
1405,controlling data warehouses with knowledge networks,"e schaefer , j becker , a boehmer , m jarke",vldb,2000
1406,e.piphany epicenter technology overview,s ramaswamy,vldb,2000
1407,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997
1408,on efficiently implementing schemasql on an sql database system,"l lakshmanan , f sadri , s subramanian",vldb,1999
1409,the dangers of replication and a solution,"j gray , p helland , p o'neil , d shasha",sigmod conference,1996
1410,performance tradeoffs for client-server query processing,"m franklin , b jѓnsson , d kossmann",sigmod conference,1996
1411,"physical data independence , constraints , and optimization with universal plans","a deutsch , l popa , v tannen",vldb,1999
1412,user-defined table operators : enhancing extensibility for ordbms,"m jaedicke , b mitschang",vldb,1999
1413,random i/o scheduling in online tertiary storage systems,"b hillyer , a silberschatz",sigmod conference,1996
1414,hot mirroring : a study to hide parity upgrade penalty and degradations during rebuilds for raid5,"k mogi , m kitsuregawa",sigmod conference,1996
1415,unrolling cycles to decide trigger termination,"s lee , t ling",vldb,1999
1416,on-line reorganization of sparsely-populated b + trees,"c zou , b salzberg",sigmod conference,1996
1417,similarity search in high dimensions via hashing,"a gionis , p indyk , r motwani",vldb,1999
1418,optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,"a hinneburg , d keim",vldb,1999
1419,birch : an efficient data clustering method for very large databases,"t zhang , r ramakrishnan , m livny",sigmod conference,1996
1420,"o-o , what have they done to db2 ?","m carey , d chamberlin , s narayanan , b vance , d doole , s rielau , r swagerman , n mattos",vldb,1999
1421,query caching and optimization in distributed mediator systems,"s adali , k candan , y papakonstantinou , v subrahmanian",sigmod conference,1996
1422,two techniques for on-line index modification in shared nothing parallel databases,"k achyutuni , e omiecinski , s navathe",sigmod conference,1996
1423,what can hierarchies do for data warehouses ?,"h jagadish , l lakshmanan , d srivastava",vldb,1999
1424,relational databases for querying xml documents : limitations and opportunities,"j shanmugasundaram , k tufte , c zhang , g he , d dewitt , j naughton",vldb,1999
1425,rapid bushy join-order optimization with cartesian products,"b vance , d maier",sigmod conference,1996
1426,performance measurements of compressed bitmap indices,t johnson,vldb,1999
1427,objectivity industrial exhibit,o objectivity,vldb,1998
1428,idea : interactive data exploration and analysis,"p selfridge , d srivastava , l wilson",sigmod conference,1996
1429,optimizing queries over multimedia repositories,"s chaudhuri , l gravano",sigmod conference,1996
1430,loading a cache with query results,"l haas , d kossmann , i ursu",vldb,1999
1431,query optimization for xml,"j mchugh , j widom",vldb,1999
1432,sql query optimization : reordering for a general class of queries,"p goel , b iyer",sigmod conference,1996
1433,probabilistic optimization of top n queries,"d donjerkovic , r ramakrishnan",vldb,1999
1434,bess : storage support for interactive visualization systems,"a biliris , t funkhouser , w o'connell , e panagos",sigmod conference,1996
1435,multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb,1999
1436,capbased-ams : a capability-based and event-driven activity management system,"p hung , h yeung , k karlapalem",sigmod conference,1996
1437,quality-driven integration of heterogenous information systems,"f naumann , u leser , j freytag",vldb,1999
1438,"data mining using two-dimensional optimized accociation rules : scheme , algorithms , and visualization","t fukuda , y morimoto , s morishita , t tokuyama",sigmod conference,1996
1439,mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996
1440,integrating heterogenous overlapping databases through object-oriented transformations,"v josifovski , t risch",vldb,1999
1441,issues in network management in the next millennium,"m brodie , s chaudhuri",vldb,1999
1442,databases and visualization,d keim,sigmod conference,1996
1443,networked data management design points,j hamilton,vldb,1999
1444,data mining techniques,j han,sigmod conference,1996
1445,dbsim : a simulation tool for predicting database performance,"m lefler , m stokrp , c wong",sigmod conference,1996
1446,in cyber space no one can hear you scream,c pound,vldb,1999
1447,dbminer : interactive mining of multiple-level knowledge in relational databases,"j han , y fu , w wang , j chiang , o zaяane , k koperski",sigmod conference,1996
1448,spirit : sequential pattern mining with regular expression constraints,"m garofalakis , r rastogi , k shim",vldb,1999
1449,a framework for supporting data integration using the materialized and virtual approaches,"r hull , g zhou",sigmod conference,1996
1450,microsoft english query 7.5 : automatic extraction of semantics from relational databases and olap cubes,a blum,vldb,1999
1451,change detection in hierarchically structured information,"s chawathe , a rajaraman , h garcia-molina , j widom",sigmod conference,1996
1452,"the new locking , logging , and recovery architecture of microsoft sql server 7.0",d campbell,vldb,1999
1453,the value of merge-join and hash-join in sql server,g graefe,vldb,1999
1454,a query language and optimization techniques for unstructured data,"p buneman , s davidson , g hillebrand , d suciu",sigmod conference,1996
1455,voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,"j darmont , m schneider",vldb,1999
1456,accessing relational databases from the world wide web,"t nguyen , v srinivasan",sigmod conference,1996
1457,goal-oriented buffer management revisited,"k brown , m carey , m livny",sigmod conference,1996
1458,building light-weight wrappers for legacy web data-sources using w4f,"a sahuguet , f azavant",vldb,1999
1459,aqua : a fast decision support systems using approximate query answers,"s acharya , p gibbons , v poosala",vldb,1999
1460,evaluating queries with generalized path expressions,"v christophides , s cluet , g moerkotte",sigmod conference,1996
1461,repeating history beyond aries,c mohan,vldb,1999
1462,cost-based optimization for magic : algebra and implementation,"p seshadri , j hellerstein , h pirahesh , t leung , r ramakrishnan , d srivastava , p stuckey , s sudarshan",sigmod conference,1996
1463,online feedback for nested aggregate queries with multi-threading,"k tan , c goh , b ooi",vldb,1999
1464,algorithms for deferred view maintenance,"l colby , t griffin , l libkin , i mumick , h trickey",sigmod conference,1996
1465,the persistent cache : improving oid indexing in temporal object-oriented database systems,k nјrvхg,vldb,1999
1466,"a query language for multidimensional arrays : design , implementation , and optimization techniques","l libkin , r machlin , l wong",sigmod conference,1996
1467,mining deviants in a time series database,"h jagadish , n koudas , s muthukrishnan",vldb,1999
1468,a super scalar sort algorithm for risc processors,r agarwal,sigmod conference,1996
1469,histogram-based approximation of set-valued query-answers,"y ioannidis , v poosala",vldb,1999
1470,bifocal sampling for skew-resistant join size estimation,"s ganguly , p gibbons , y matias , a silberschatz",sigmod conference,1996
1471,semantic compression and pattern extraction with fascicles,"h jagadish , j madar , r ng",vldb,1999
1472,estimating alphanumeric selectivity in the presence of wildcards,"p krishnan , j vitter , b iyer",sigmod conference,1996
1473,adaptive parallel aggregation algorithms,"a shatdal , j naughton",sigmod conference,1995
1474,extending practical pre-aggregation in on-line analytical processing,"t pedersen , c jensen , c dyreson",vldb,1999
1475,aggregation algorithms for very large compressed data warehouses,"j li , d rotem , j srivastava",vldb,1999
1476,a general solution of the n-dimensional b-tree problem,m freeston,sigmod conference,1995
1477,extracting large-scale knowledge bases from the web,"r kumar , p raghavan , s rajagopalan , a tomkins",vldb,1999
1478,efficient optimistic concurrency control using loosely synchronized clocks,"a adya , r gruber , b liskov , u maheshwari",sigmod conference,1995
1479,"data-driven , one-to-one web site generation for data-intensive applications","s ceri , p fraternali , s paraboschi",vldb,1999
1480,a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",sigmod conference,1995
1481,the garlic project,"m roth , m arya , l haas , m carey , w cody , r fagin , p schwarz , j ii , e wimmers",sigmod conference,1996
1482,curio : a novel solution for efficient storage and indexing in data warehouses,"a datta , k ramamritham , h thomas",vldb,1999
1483,datawarehousing has more colours than just black & white,"t zurek , m sinnwell",vldb,1999
1484,the multiview project : object-oriented view technology and applications,"e rundensteiner , h kuno , y ra , v crestana-taube , m jones , p marrѓn",sigmod conference,1996
1485,sonar : system for optimized numeric associationrules,"t fukuda , y morimoto , s morishita , t tokuyama",sigmod conference,1996
1486,high-performance extensible indexing,m kornacker,vldb,1999
1487,metu interoperable database system,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",sigmod conference,1996
1488,hierarchical prefix cubes for range-sum queries,"c chan , y ioannidis",vldb,1999
1489,prospector : a content-based multimedia server for massively parallel architectures,"s choo , w o'connell , g linderman , h chen , k ganapathi , a biliris , e panagos , d schrader",sigmod conference,1996
1490,combining histograms and parametric curve fitting for feedback-driven query result-size estimation,"a kіnig , g weikum",vldb,1999
1491,lore : a lightweight object repository for semistructured data,"d quass , j widom , r goldman , k haas , q luo , j mchugh , s nestorov , a rajaraman , h rivero , s abiteboul , j ullman , j wiener",sigmod conference,1996
1492,evaluating top-k selection queries,"s chaudhuri , l gravano",vldb,1999
1493,hyperstorm - administering structured documents using object-oriented database technology,"k bіhm , k aberer",sigmod conference,1996
1494,distributed hypertext resource discovery through examples,"s chakrabarti , m berg , b dom",vldb,1999
1495,thinksheet : a tool for tailoring complex documents,"p piatko , r yangarber , d lin , d shasha",sigmod conference,1996
1496,building hierarchical classifiers using class proximity,"k wang , s zhou , s liew",vldb,1999
1497,"active storage hierarchy , database systems and applications - socratic exegesis","f cariёo , w o'connell , j burgess , j saltz",vldb,1999
1498,state of the art in workflow management research and products,,,1996
1499,repository system engineering,,,1996
1500,cost models do matter : providing cost information for diverse data sources in a federated system,"m roth , f ozcan , l haas",vldb,1999
1501,generating call-level interfaces for advanced database application programming,"u nink , t hфrder , n ritter",vldb,1999
1502,the ins and outs ( and everthing in between ) of data warehousing,,,1996
1503,high level indexing of user-defined types,"w chen , j chow , y fuh , j grandbois , m jou , n mattos , b tran , y wang",vldb,1999
1504,is gui programming a database research problem ?,"n goyal , c hoch , r krishnamurthy , b meckler , m suckow",sigmod conference,1996
1505,materialized view maintenance and integrity constraint checking : trading space for time,"k ross , d srivastava , s sudarshan",sigmod conference,1996
1506,finding intensional knowledge of distance-based outliers,"e knorr , r ng",vldb,1999
1507,a novel index supporting high volume data warehouse insertion,"c jermaine , a datta , e omiecinski",vldb,1999
1508,maintaining database consistency in presence of value dependencies in multidatabase systems,"c morpain , m cart , j ferriщ , j pons",sigmod conference,1996
1509,rule languages and internal algebras for rule-based optimizers,"m cherniack , s zdonik",sigmod conference,1996
1510,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,"m tamura , m kitsuregawa",vldb,1999
1511,a scalable and highly available networked database architecture,"r bamford , r ahad , a pruscino",vldb,1999
1512,query execution techniques for caching expensive methods,"j hellerstein , j naughton",sigmod conference,1996
1513,"semi-automatic , self-adaptive control of garbage collection rates in object databases","j cook , a klauser , a wolf , b zorn",sigmod conference,1996
1514,context-based prefetch for implementing objects on relations,"p bernstein , s pal , d shutt",vldb,1999
1515,towards effective and efficient free space management,"m mcauliffe , m carey , m solomon",sigmod conference,1996
1516,ghost : fine granularity buffering of indexes,"c goh , b ooi , d sim , k tan",vldb,1999
1517,dbmss on a modern processor : where does time go ?,"a ailamaki , d dewitt , m hill , d wood",vldb,1999
1518,static detection of security flaws in object-oriented databases,k tajima,sigmod conference,1996
1519,capturing and querying multiple aspects of semistructured data,"c dyreson , m bіhlen , c jensen",vldb,1999
1520,multi-dimensional resource scheduling for parallel queries,"m garofalakis , y ioannidis",sigmod conference,1996
1521,safe and efficient sharing of persistent objects in thor,"b liskov , a adya , m castro , m day , s ghemawat , r gruber , u maheshwari , a myers , l shrira",sigmod conference,1996
1522,cache conscious indexing for decision-support in main memory,"j rao , k ross",vldb,1999
1523,comparing hierarchical data in external memory,s chawathe,vldb,1999
1524,an open storage system for abstract objects,"s blott , l relly , h schek",sigmod conference,1996
1525,improved histograms for selectivity estimation of range predicates,"v poosala , y ioannidis , p haas , e shekita",sigmod conference,1996
1526,explaining differences in multidimensional aggregates,s sarawagi,vldb,1999
1527,very large databases in a commercial application environment,k hess,vldb,1996
1528,database architecture optimized for the new bottleneck : memory access,"p boncz , s manegold , m kersten",vldb,1999
1529,structures for manipulating proposed updates in object-oriented databases,"m doherty , r hull , m rupawalla",sigmod conference,1996
1530,spatial hash-joins,"m lo , c ravishankar",sigmod conference,1996
1531,active views for electronic commerce,"s abiteboul , b amann , s cluet , a eyal , l mignet , t milo",vldb,1999
1532,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996
1533,an adaptive hybrid server architecture for client caching odbmss,"k voruganti , m жzsu , r unrau",vldb,1999
1534,implementing data cubes efficiently,"v harinarayan , a rajaraman , j ullman",sigmod conference,1996
1535,exploiting versions for handling updates in broadcast disks,"e pitoura , p chrysanthis",vldb,1999
1536,fast algorithms for maintaining replica consistency in lazy master replicated databases,"e pacitti , p minet , e simon",vldb,1999
1537,providing better support for a class of decision support queries,"s rao , a badia , d gucht",sigmod conference,1996
1538,datablitz : a high performance main-memory storage manager,"j baulier , p bohannon , s gogate , s joshi , c gupta , a khivesera , h korth , p mcilroy , j miller , p narayan , m nemeth , r rastogi , a silberschatz , s sudarshan",vldb,1998
1539,adapting materialized views after redefinitions,"a gupta , i mumick , k ross",sigmod conference,1995
1540,bridging heterogeneity : research and practice of database middleware technology,"f rezende , g sauter",vldb,1998
1541,broadcast disks : data management for asymmetric communications environments,"s acharya , r alonso , m franklin , s zdonik",sigmod conference,1995
1542,heterogeneous database query optimization in db2 universal datajoiner,"s venkataraman , t zhang",vldb,1998
1543,an effective hash based algorithm for mining association rules,"j park , m chen , p yu",sigmod conference,1995
1544,a database system for real-time event aggregation in telecommunication,"j baulier , s blott , h korth , a silberschatz",vldb,1998
1545,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets","c faloutsos , k lin",sigmod conference,1995
1546,dynamic resource brokering for multi-user query execution,"d davison , g graefe",sigmod conference,1995
1547,architecture of oracle parallel server,"r bamford , d butler , b klots , n macnaughton",vldb,1998
1548,checkpointing in oracle,"a joshi , w bridge , j loaiza , t lahiri",vldb,1998
1549,applying update streams in a soft real-time database system,"b adelberg , h garcia-molina , b kao",sigmod conference,1995
1550,balancing histogram optimality and practicality for query result size estimation,"y ioannidis , v poosala",sigmod conference,1995
1551,from data independence to knowledge independence : an on-going story,l vieille,vldb,1998
1552,dtl 's dataspot : database exploration using plain language,"s dar , g entin , s geva , e palmon",vldb,1998
1553,enhancing database correctness : a statistical approach,"w hou , z zhang",sigmod conference,1995
1554,resource scheduling for composite multimedia objects,"m garofalakis , y ioannidis , b жzden",vldb,1998
1555,copy detection mechanisms for digital documents,"s brin , j davis , h garcia-molina",sigmod conference,1995
1556,performance measurements of tertiary storage devices,"t johnson , e miller",vldb,1998
1557,a database interface for file updates,"s abiteboul , s cluet , t milo",sigmod conference,1995
1558,incremental maintenance for materialized views over semistructured data,"s abiteboul , j mchugh , m rys , v vassalos , j wiener",vldb,1998
1559,fault tolerant design of multimedia servers,"s berson , l golubchik , r muntz",sigmod conference,1995
1560,proximity search in databases,"r goldman , n shivakumar , s venkatasubramanian , h garcia-molina",vldb,1998
1561,efficient maintenance of materialized mediated views,"j lu , g moerkotte , j schќ , v subrahmanian",sigmod conference,1995
1562,carnot and infosleuth : database technology and the world wide web,"d woelk , w bohrer , n jacobs , k ong , c tomlinson , c unnikrishnan",sigmod conference,1995
1563,technology and the future of commerce and finance ( abstract ),d shaw,vldb,1998
1564,active storage for large-scale data mining and multimedia,"e riedel , g gibson , c faloutsos",vldb,1998
1565,high availability of commercial applications,k ivinskis,sigmod conference,1995
1566,enterprise transaction processing on windows nt,g hope,sigmod conference,1995
1567,a single pass computing engine for interactive analysis of vldbs,t mihalisin,vldb,1998
1568,dms : a parallel data mining server,f george,vldb,1998
1569,directv and oracle rdb : the challenges of vldb transaction processing,w gettys,sigmod conference,1995
1570,"enterprise objects framework , a second generation object-relational enabler",c kleissner,sigmod conference,1995
1571,low-cost compensation-based query processing,"и grјvlen , s hvasshovd , и torbjјrnsen",vldb,1998
1572,an overview of db2 parallel edition,"c baru , g fecteau , a goyal , h hsiao , a jhingran , s padmanabhan , w wilson",sigmod conference,1995
1573,a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces,"r weber , h schek , s blott",vldb,1998
1574,data extraction and transformation for the data warehouse,c squire,sigmod conference,1995
1575,reducing the braking distance of an sql query engine,"m carey , d kossmann",vldb,1998
1576,cover your assets,m olson,sigmod conference,1995
1577,querying continuous time sequences,"l lin , t risch",vldb,1998
1578,recovery protocols for shared memory database systems,"l molesky , k ramamritham",sigmod conference,1995
1579,edgar f. codd : a tribute and personal memoir,c date,sigmod record,2003
1580,nd-sql : a multi-dimensional language for interoperability and olap,"f gingras , l lakshmanan",vldb,1998
1581,the lyric language : querying constraint objects,"a brodsky , y kornatzky",sigmod conference,1995
1582,the heterogeneity problem and middleware technology : experiences with and performance of database gateways,"f rezende , k hergula",vldb,1998
1583,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"r braumandl , j clauпen , a kemper",vldb,1998
1584,datamine - interactive rule discovery system,"t imielinski , a virmani",sigmod conference,1995
